Dado,Formato,Temos info?,Dado enviado para HubSpot?,Dado de Contato ou Empresa,Propriedade na Hubspot,Tempo do Dado,Prioridade de envio,Agrupamento,Observação Sabrina,Metabase
Mercado Pago - Redirect,Flag,Sim,"Sim ",Empresa,mercado_pago_redirect,D-1,Médio,,,
Mercado Pago - Boleto,Flag,Sim,"Sim ",Empresa,mercado_pago_boleto,D-1,Médio,,,
Mercado Pago - Cartao,Flag,Sim,"Sim ",Empresa,mercado_pago_cartao,D-1,Médio,,,
Outros - Deposito,Flag,Sim,"Sim ",Empresa,outros_deposito,D-1,Médio,,,
Outros - Pagamento Externo,Flag,Sim,"Sim ",Empresa,outros_pagamento_externo,D-1,Médio,,,
Pagali - Pix,Flag,Sim,"Sim ",Empresa,pagali_pix,D-1,Médio,,,
Pagali - Cartao,Flag,Sim,"Sim ",Empresa,pagali_cartao,Tempo Real,Essencial,,,
Pagali - Boleto,Flag,Sim,"Sim ",Empresa,pagali_boleto,D-1,Médio,,,
Pagarme - Boleto,Flag,Sim,"Sim ",Empresa,pagarme_boleto,D-1,Médio,,,
Pagarme - Cartao,Flag,Sim,"Sim ",Empresa,pagarme_cartao,D-1,Médio,,,
Paghiper - Boleto,Flag,Sim,"Sim ",Empresa,paghiper_boleto,D-1,Médio,,,
Pagseguro - Cartao,Flag,Sim,"Sim ",Empresa,pagseguro_cartao,D-1,Médio,,,
Pagseguro - Boleto,Flag,Sim,"Sim ",Empresa,pagseguro_boleto,D-1,Médio,,,
Pagseguro - Redirect,Flag,Sim,"Sim ",Empresa,pagseguro_redirect,D-1,Médio,,,
Paypal - Cartao,Flag,Sim,"Sim ",Empresa,paypal_cartao,D-1,Essencial,,,
Paypal - Redirect,Flag,Sim,"Sim ",Empresa,paypal_redirect,D-1,Essencial,,,
PAC Correios,Flag,Sim,"Sim ",Empresa,pac_correios,D-1,Essencial,,,
Sedex,Flag,Sim,"Sim ",Empresa,sedex,D-1,Essencial,,,
Enviali,Flag,Sim,"Sim ",Empresa,enviali,D-1,Essencial,,,
Melhor Envio,Flag,Sim,"Sim ",Empresa,melhor_envio,D-1,Essencial,,,
Frenet,Flag,Sim,"Sim ",Empresa,frenet,D-1,Essencial,,,
Manda Bem,Flag,Sim,"Sim ",Empresa,manda_bem,D-1,Essencial,,,
Kangu,Flag,Sim,"Sim ",Empresa,kangu,D-1,Essencial,,,
Frete Barato,Flag,Sim,"Sim ",Empresa,frete_barato,D-1,Essencial,,,
Forma de Envio Retirada,Flag,Sim,"Sim ",Empresa,forma_de_envio_retirada_em_maos,D-1,Essencial,,,
Forma de Envio Transportadora,Flag,Sim,"Sim ",Empresa,forma_de_envio_transportadora,D-1,Essencial,,,
Forma de Envio Motoboy,Flag,Sim,"Sim ",Empresa,forma_de_envio_motoboy,D-1,Essencial,,,
Forma de Envio Personalizada,Flag,Sim,"Sim ",Empresa,forma_de_envio_personalizada,D-1,Essencial,,,
Tipo de Pessoa,Texto,Sim,"Sim ",Empresa,tipo_de_pessoa,D-1,Essencial,,,
GMV Cartão (30D),Número,Sim,"Sim ",Empresa,gmv_cartao_30d,D-1,Essencial,,,
Taxa de aprovação em Cartão (Meio de pagamento) Ultimo mês fechado,Número,Sim,"Sim ",Empresa,taxa_de_aprovacao_em_cartao_ultimo_mes_fechado,D-1,Médio,,,
Taxa de Conversão do segmento da loja (%) Ultimo mês fechado,Número,Sim,"Sim ",Empresa,taxa_de_conversao_do_segmento_da_loja_ultimo_mes_fechado,D-1,Médio,,,
" Taxa de Conversão ultimo mês fechado",Número,Sim,"Sim ",Empresa,taxa_de_conversao_ultimo_mes_fechado,D-1,Médio,,,
Banner,Flag,Sim,"Sim ",Empresa,banner,Tempo Real,Médio,,,
Usa editor de e-mail,Flag,Não,Não,Empresa,usa_editor_de_e_mail,D-1,Médio,,Não está no Starrocks,
Data da instalação do tema,Data,Sim,"Sim ",Empresa,data_instalacao_tema,Tempo Real,,,,
Google Shopping - Data de Instalação,Data,Não,Não,Empresa,data_criacao_google_shopping,Tempo Real,Médio,,,
Google Shopping - Tem Campanha,Data,Não,Não,Empresa,google_shopping_tem_campanha,D-1,,,,
Cupom Ativo?,Flag,Sim,"Sim ",Empresa,cupom_ativo,Tempo Real,Essencial,,,
Data que ativou o primeiro cupom,Data,Sim,"Sim ",Empresa,data_que_ativou_o_primeiro_cupom,Tempo Real,Essencial,,,
Data que ativou Brinde Nativo,Data,Sim,Não,Empresa,data_que_ativou_brinde,Tempo Real,Médio,,,
"Compre junto ativo ",Flag,Sim,"Sim ",Empresa,compre_junto_ativo,Tempo Real,Essencial,,,
Data que ativou Compre junto,Data,Sim,"Sim ",Empresa,data_que_ativou_compre_junto,Tempo Real,Essencial,,,
API de Conversões + Pixel Meta  (ativo),Flag,Sim,"Sim ",Empresa,api_de_conversoes_pixel_meta_ativo,D-1,Baixo,,,
